scenario,region,year,tcsi
historical,West Coast,1950,0.6809
historical,West Coast,1951,0.6891
historical,West Coast,1952,0.667
historical,West Coast,1953,0.7257
historical,West Coast,1954,0.6762
historical,West Coast,1955,0.6806
historical,West Coast,1956,0.6459
historical,West Coast,1957,0.6636
historical,West Coast,1958,0.744
historical,West Coast,1959,0.7091
historical,West Coast,1960,0.7218
historical,West Coast,1961,0.7668
historical,West Coast,1962,0.7422
historical,West Coast,1963,0.7105
historical,West Coast,1964,0.6594
historical,West Coast,1965,0.6606
historical,West Coast,1966,0.7448
historical,West Coast,1967,0.6136
historical,West Coast,1968,0.7116
historical,West Coast,1969,0.6579
historical,West Coast,1970,0.6883
historical,West Coast,1971,0.6103
historical,West Coast,1972,0.6899
historical,West Coast,1973,0.6719
historical,West Coast,1974,0.6362
historical,West Coast,1975,0.718
historical,West Coast,1976,0.7188
historical,West Coast,1977,0.6751
historical,West Coast,1978,0.7414
historical,West Coast,1979,0.7021
historical,West Coast,1980,0.7186
historical,West Coast,1981,0.7818
historical,West Coast,1982,0.7742
historical,West Coast,1983,0.6872
historical,West Coast,1984,0.8216
historical,West Coast,1985,0.6972
historical,West Coast,1986,0.7346
historical,West Coast,1987,0.6727
historical,West Coast,1988,0.6569
historical,West Coast,1989,0.7423
historical,West Coast,1990,0.7153
historical,West Coast,1991,0.6825
historical,West Coast,1992,0.6141
historical,West Coast,1993,0.6641
historical,West Coast,1994,0.7672
historical,West Coast,1995,0.7218
historical,West Coast,1996,0.7002
historical,West Coast,1997,0.7612
historical,West Coast,1998,0.7165
historical,West Coast,1999,0.6662
historical,West Coast,2000,0.6544
historical,West Coast,2001,0.8018
historical,West Coast,2002,0.7587
historical,West Coast,2003,0.7953
historical,West Coast,2004,0.7409
historical,West Coast,2005,0.7537
historical,West Coast,2006,0.7601
historical,West Coast,2007,0.7979
historical,West Coast,2008,0.7181
historical,West Coast,2009,0.7147
historical,West Coast,2010,0.7778
historical,West Coast,2011,0.8019
historical,West Coast,2012,0.7592
historical,West Coast,2013,0.7833
historical,West Coast,2014,0.7569
historical,Northwest / Mountain,1950,0.6452
historical,Northwest / Mountain,1951,0.6453
historical,Northwest / Mountain,1952,0.6784
historical,Northwest / Mountain,1953,0.6098
historical,Northwest / Mountain,1954,0.6517
historical,Northwest / Mountain,1955,0.6879
historical,Northwest / Mountain,1956,0.6854
historical,Northwest / Mountain,1957,0.6837
historical,Northwest / Mountain,1958,0.5773
historical,Northwest / Mountain,1959,0.6766
historical,Northwest / Mountain,1960,0.6239
